zona_fisica,tipo_estructura,niveles_rack,ancho_modulo_m,fondo_modulo_m,alto_estructura_m,altura_util_nivel_m,capacidad_nivel_kg,nivel_manual_hasta,tiempo_extra_nivel_s,tiempo_equipo_s,estado_medidas
ACUMULADORES,PISO,1,1.2,1.2,2.5,2.5,0.0,1,0.0,0.0,CONFIRMAR
CELULARES,RACK,4,1.8,0.6,2.4,0.5,0.0,2,8.0,25.0,PROVISIONAL
JOYERIA,RACK,4,1.8,0.6,2.4,0.5,0.0,2,8.0,25.0,PROVISIONAL
LLANTAS,RACK,4,2.4,1.0,4.0,0.9,0.0,1,15.0,45.0,PROVISIONAL
LOTE,RACK,4,2.4,0.8,3.2,0.7,0.0,4,10.0,10.0,PROVISIONAL
MIXTA,RACK,4,2.4,1.2,8.0,8.0,0.0,1,0.0,0.0,CONFIRMADO
MOTOS,PISO,1,2.4,1.2,3.0,3.0,0.0,1,0.0,0.0,CONFIRMAR
PERECEDEROS,RACK,4,2.4,1.0,3.2,0.7,0.0,2,10.0,30.0,PROVISIONAL
PISO,PISO,1,2.4,1.2,8.0,8.0,0.0,1,0.0,0.0,PROVISIONAL
RACK,RACK,4,2.7,1.1,5.0,1.1,0.0,2,12.0,10.0,PROVISIONAL
RACK ALTO,RACK,5,2.7,1.1,8.0,1.4,0.0,1,20.0,60.0,PROVISIONAL
RACK XL,RACK,4,3.0,1.5,6.0,1.35,0.0,1,18.0,55.0,PROVISIONAL
