seccion_general,seccion_general_descripcion,zona_fisica,surtidor
1,LOTEO,JOYERIA,131
1,LOTEO,JOYERIA,133
1,LOTEO,JOYERIA,134
1,LOTEO,JOYERIA,135
1,LOTEO,JOYERIA,136
1,LOTEO,LOTE,102
1,LOTEO,LOTE,103
1,LOTEO,LOTE,104
1,LOTEO,LOTE,105
1,LOTEO,LOTE,106
1,LOTEO,LOTE,107
1,LOTEO,LOTE,108
1,LOTEO,LOTE,109
1,LOTEO,LOTE,110
1,LOTEO,LOTE,111
1,LOTEO,LOTE,112
1,LOTEO,LOTE,113
1,LOTEO,LOTE,114
1,LOTEO,LOTE,115
1,LOTEO,LOTE,116
1,LOTEO,LOTE,117
1,LOTEO,LOTE,118
1,LOTEO,LOTE,119
1,LOTEO,LOTE,129
1,LOTEO,LOTE,132
1,LOTEO,LOTE,137
1,LOTEO,LOTE,138
1,LOTEO,PERECEDEROS,120
2,RACK,LLANTAS,245
2,RACK,RACK,242
2,RACK,RACK,243
2,RACK,RACK,244
2,RACK,RACK,252
2,RACK,RACK ALTO,201
2,RACK,RACK ALTO,202
2,RACK,RACK ALTO,203
2,RACK,RACK ALTO,204
2,RACK,RACK ALTO,205
2,RACK,RACK ALTO,206
2,RACK,RACK ALTO,207
2,RACK,RACK ALTO,208
2,RACK,RACK ALTO,209
2,RACK,RACK ALTO,210
2,RACK,RACK ALTO,211
2,RACK,RACK ALTO,212
2,RACK,RACK ALTO,213
2,RACK,RACK ALTO,214
2,RACK,RACK ALTO,215
2,RACK,RACK ALTO,216
2,RACK,RACK ALTO,217
2,RACK,RACK ALTO,218
2,RACK,RACK ALTO,219
2,RACK,RACK ALTO,220
2,RACK,RACK ALTO,221
2,RACK,RACK ALTO,222
2,RACK,RACK ALTO,223
2,RACK,RACK ALTO,224
2,RACK,RACK ALTO,225
2,RACK,RACK ALTO,226
2,RACK,RACK ALTO,227
2,RACK,RACK XL,228
2,RACK,RACK XL,229
2,RACK,RACK XL,230
2,RACK,RACK XL,231
2,RACK,RACK XL,232
2,RACK,RACK XL,233
2,RACK,RACK XL,234
2,RACK,RACK XL,235
2,RACK,RACK XL,236
2,RACK,RACK XL,237
2,RACK,RACK XL,238
2,RACK,RACK XL,239
2,RACK,RACK XL,240
2,RACK,RACK XL,241
3,PISO,ACUMULADORES,309
3,PISO,MOTOS,307
3,PISO,MOTOS,308
3,PISO,PISO,310
3,PISO,PISO,311
3,PISO,PISO,312
3,PISO,PISO,313
3,PISO,PISO,301
3,PISO,PISO,302
3,PISO,PISO,303
3,PISO,PISO,304
3,PISO,PISO,305
3,PISO,PISO,306
4,CELULARES,CELULARES,122
4,CELULARES,CELULARES,123
4,CELULARES,CELULARES,124
4,CELULARES,CELULARES,125
4,CELULARES,CELULARES,126
4,CELULARES,CELULARES,127
