DCF,descdepto,descclase,descfamilia
20603,ELECTRONICA                   ,MINI AUDIOS                   ,CASSETTE RADIO                
20606,ELECTRONICA                   ,MINI AUDIOS                   ,AUDIFONOS/BOCINAS             
21602,ELECTRONICA                   ,DVD                           ,VIDEO GRABADORA 2 CABEZAS     
21603,ELECTRONICA                   ,DVD                           ,VIDEO GRABADORA 4 CABEZAS     
21801,ELECTRONICA                   ,VIDEO CAMARA                  ,VIDEO CAMARA VHS              
21802,ELECTRONICA                   ,VIDEO CAMARA                  ,VIDEO CAMARA 8 MM             
21803,ELECTRONICA                   ,VIDEO CAMARA                  ,ACCESORIOS                    
21902,ELECTRONICA                   ,ACCESORIOS TV                 ,ANTENA MAYOR ALCANCE          
21905,ELECTRONICA                   ,ACCESORIOS TV                 ,COMPONENTES PARA ANTENAS      
22203,ELECTRONICA                   ,TELEFONOS                     ,INTERFONO                     
22206,ELECTRONICA                   ,TELEFONOS                     ,CONTESTADOR                   
22207,ELECTRONICA                   ,TELEFONOS                     ,FAX                           
22208,ELECTRONICA                   ,TELEFONOS                     ,FAX CON TELEFONO              
22411,ELECTRONICA                   ,TELEFONOS CELULARES           ,UNEFON PREPAGOS               
22420,ELECTRONICA                   ,TELEFONOS CELULARES           ,TELEFONICA MOVISTAR PREPAGOS  
22421,ELECTRONICA                   ,TELEFONOS CELULARES           ,MOVISTAR PREPAGO (NVO ESQUEMA)
22440,ELECTRONICA                   ,TELEFONOS CELULARES           ,IUSACELL PREPAGOS             
22474,ELECTRONICA                   ,TELEFONOS CELULARES           ,TARJETAS INTERNET             
22479,ELECTRONICA                   ,TELEFONOS CELULARES           ,TELEFONIA FIJA MOVISTAR       
22484,ELECTRONICA                   ,TELEFONOS CELULARES           ,TARJETA DE DATOS              
22510,ELECTRONICA                   ,CELULARES P/GARANTIA          ,UNEFON                        
22520,ELECTRONICA                   ,CELULARES P/GARANTIA          ,MOVISTAR                      
22530,ELECTRONICA                   ,CELULARES P/GARANTIA          ,TELCEL                        
22540,ELECTRONICA                   ,CELULARES P/GARANTIA          ,IUSACELL                      
22610,ELECTRONICA                   ,TARJETAS DE LARGA DISTANCIA   ,WOW LARGA DISTANCIA           
22713,ELECTRONICA                   ,PLANES TARIFARIOS             ,PLAN TARIFARIO IUSACELL       
22721,ELECTRONICA                   ,PLANES TARIFARIOS             ,PLAN MOVISTAR                 
22740,ELECTRONICA                   ,PLANES TARIFARIOS             ,PLAN IUSACELL                 
22803,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,TARJETA $100                  
22805,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,TARJETAS $200                 
22811,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,UNEFON TARJETAS PREPAGO       
22812,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,PLAN FACIL UNEFON TARIFA PLANA
22821,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,TELEFONICA MOVISTAR TARJETAS P
22831,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,TELCEL TARJETAS PREPAGO       
22841,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,IUSACELL TARJETAS PREPAGO     
22842,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,PLAN FACIL IUSACELL           
23003,ELECTRONICA                   ,PELICULAS                     ,EXHIBIDOR                     
29801,ELECTRONICA                   ,ACCESORIOS VARIOS             ,FUNDAS IPODS                  
29805,ELECTRONICA                   ,ACCESORIOS VARIOS             ,ACCESORIOS CAMARAS            
29806,ELECTRONICA                   ,ACCESORIOS VARIOS             ,COLGANTES P/CEL               
29807,ELECTRONICA                   ,ACCESORIOS VARIOS             ,ACCESORIOS IPOD               
29810,ELECTRONICA                   ,ACCESORIOS VARIOS             ,EXHIBIDORES                   
29930,ELECTRONICA                   ,PROMOCIONES                   ,OFERTAS TELCEL                
30101,MUEBLE SUELTO                 ,COLCHON                       ,INDIVIDUAL                BAJA
30103,MUEBLE SUELTO                 ,COLCHON                       ,INFLABLE 100              BAJA
30105,MUEBLE SUELTO                 ,COLCHON                       ,MATRIMONIAL               BAJA
30107,MUEBLE SUELTO                 ,COLCHON                       ,INFLABLE 135              BAJA
30109,MUEBLE SUELTO                 ,COLCHON                       ,QUEEN RESORTE             BAJA
30111,MUEBLE SUELTO                 ,COLCHON                       ,QUEEN C/TOP RESORTE       BAJA
30113,MUEBLE SUELTO                 ,COLCHON                       ,KING RESORTE              BAJA
30115,MUEBLE SUELTO                 ,COLCHON                       ,KING C/TOP RESORTE        BAJA
30211,MUEBLE SUELTO                 ,JUEGO BOX                     ,135                       BAJA
30213,MUEBLE SUELTO                 ,JUEGO BOX                     ,200                       BAJA
30409,MUEBLE SUELTO                 ,CAMAS                         ,CUNA                      BAJA
30410,MUEBLE SUELTO                 ,CAMAS                         ,METAL QS                      
30601,MUEBLE SUELTO                 ,CABECERAS                     ,IND/IND METALICA          BAJA
30602,MUEBLE SUELTO                 ,CABECERAS                     ,INDIVIDUAL                    
30606,MUEBLE SUELTO                 ,CABECERAS                     ,QUEEN SIZE                    
30901,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,5 PIEZAS FORMICA          BAJA
30903,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,5 PIEZAS CRISTAL          BAJA
30905,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,5 PIEZAS MADERA           BAJA
